,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
346,2019-02-01,Open Position,lower,1716.443578458523,1396.648074456925,29.1299991607666,35.79999923706055
347,2019-02-12,Close Position,lower,1859.4273385981548,1414.4272180550115,26.889999389648438,35.349998474121094
348,2019-02-14,Open Position,lower,1830.1610746164288,1515.1515151515152,27.31999969482422,33.0
349,2019-02-25,Close Position,lower,1761.1835531856686,1542.7337314224771,28.389999389648438,32.40999984741211
350,2019-03-06,Open Position,upper,1808.9725435640094,1542.7337314224771,27.639999389648438,32.40999984741211
351,2019-03-08,Close Position,upper,1848.4288876243743,1639.344262295082,27.049999237060547,30.5
352,2019-03-11,Open Position,lower,1822.8217077549748,1639.344262295082,27.43000030517578,30.5
353,2019-03-21,Close Position,lower,1807.664507441349,1613.4236969759077,27.65999984741211,30.989999771118164
354,2019-03-22,Open Position,upper,1832.8445286468307,1613.4236969759077,27.280000686645508,30.989999771118164
355,2019-03-28,Close Position,upper,1831.501882685899,1647.4464372833297,27.299999237060547,30.350000381469727
356,2019-04-01,Open Position,lower,1792.7572999000438,1639.344262295082,27.889999389648438,30.5
357,2019-04-11,Close Position,lower,1802.4513486859544,1718.2130358953177,27.739999771118164,29.100000381469727
358,2019-04-12,Open Position,upper,1791.4726002635982,1612.9032258064517,27.90999984741211,31.0
359,2019-05-03,Close Position,upper,1788.269014206337,1492.5373134328358,27.959999084472656,33.5
360,2019-05-06,Open Position,upper,1803.7518484321106,1428.5714285714287,27.719999313354492,35.0
361,2019-05-21,Close Position,upper,1944.7686417926436,1428.5714285714287,25.709999084472656,35.0
362,2019-05-23,Open Position,lower,1977.848047544285,1694.915254237288,25.280000686645508,29.5
363,2019-06-03,Close Position,lower,2013.6931193569308,1666.6666666666667,24.829999923706055,30.0
364,2019-06-06,Open Position,upper,1964.6364833438631,1499.2504434085345,25.450000762939453,33.349998474121094
365,2019-06-18,Close Position,upper,1931.9938802702393,1499.2504434085345,25.8799991607666,33.349998474121094
366,2019-06-20,Open Position,lower,1926.0401295586441,1666.6666666666667,25.959999084472656,30.0
367,2019-07-01,Close Position,lower,1914.2418986793364,1639.344262295082,26.1200008392334,30.5
368,2019-07-10,Open Position,upper,1894.6571108907513,1612.9032258064517,26.389999389648438,31.0
369,2019-07-15,Close Position,upper,1883.948691604878,1481.4814814814815,26.540000915527344,33.75
370,2019-07-24,Open Position,lower,1896.8133096463214,1515.1515151515152,26.360000610351562,33.0
371,2019-07-25,Close Position,lower,1920.8604948540058,1515.1515151515152,26.030000686645508,33.0
372,2019-07-26,Open Position,upper,1941.7475728155339,1515.1515151515152,25.75,33.0
373,2019-07-29,Close Position,upper,1958.480166675221,1612.9032258064517,25.530000686645508,31.0
374,2019-07-30,Open Position,lower,1974.7235625054425,1612.9032258064517,25.31999969482422,31.0
375,2019-07-31,Close Position,lower,2009.6463700386798,1577.287028284716,24.8799991607666,31.700000762939453
376,2019-08-02,Open Position,upper,2044.1537968715738,1577.287028284716,24.459999084472656,31.700000762939453
377,2019-08-05,Close Position,upper,2074.6887638410394,1666.6666666666667,24.100000381469727,30.0
378,2019-08-09,Open Position,lower,2088.5546735418325,1785.7142857142858,23.940000534057617,28.0
379,2019-08-20,Close Position,lower,2155.1723429195686,1785.7142857142858,23.200000762939453,28.0
380,2019-08-23,Open Position,upper,2183.4061499084432,1785.7142857142858,22.899999618530273,28.0
381,2019-08-26,Close Position,upper,2136.752171585738,1785.7142857142858,23.399999618530273,28.0
382,2019-08-28,Open Position,lower,2131.2873807012734,1785.7142857142858,23.459999084472656,28.0
383,2019-09-12,Close Position,lower,1853.2246422660828,1574.8031496062993,26.979999542236328,31.75
384,2019-09-13,Open Position,upper,1845.018424213333,1574.8031496062993,27.100000381469727,31.75
385,2019-09-16,Close Position,upper,1851.166219041158,1785.076743713972,27.010000228881836,28.010000228881836
386,2019-09-17,Open Position,lower,1852.5379927385068,1785.076743713972,26.989999771118164,28.010000228881836
387,2019-09-19,Close Position,lower,1876.1726347355745,1428.5714285714287,26.649999618530273,35.0
388,2019-09-20,Open Position,upper,1874.0629470795118,1428.5714285714287,26.68000030517578,35.0
389,2019-09-30,Close Position,upper,1917.177919718906,1666.6666666666667,26.079999923706055,30.0
390,2019-10-01,Open Position,lower,1912.045916993791,1612.9032258064517,26.149999618530273,31.0
391,2019-10-09,Close Position,lower,1951.6002483275524,1672.8003018064999,25.6200008392334,29.889999389648438
392,2019-10-16,Open Position,upper,1864.2804089833419,1538.4615384615386,26.81999969482422,32.5
393,2019-10-25,Close Position,upper,1848.4288876243743,1592.3567072431808,27.049999237060547,31.399999618530273
394,2019-10-30,Open Position,upper,1823.4865011261495,1459.85401459854,27.420000076293945,34.25
395,2019-10-31,Close Position,upper,1853.9118010003785,1592.3567072431808,26.969999313354492,31.399999618530273
396,2019-11-01,Open Position,lower,1820.1675009031612,1592.3567072431808,27.469999313354492,31.399999618530273
397,2019-11-19,Close Position,lower,1739.7355740498913,1594.8963123315898,28.739999771118164,31.350000381469727
398,2019-11-20,Open Position,upper,1759.324414700007,1594.8963123315898,28.420000076293945,31.350000381469727
399,2019-11-29,Close Position,upper,1778.0938302903369,1628.6644546393366,28.1200008392334,30.700000762939453
400,2019-12-04,Open Position,lower,1753.1556520851693,1639.344262295082,28.520000457763672,30.5
401,2019-12-11,Close Position,lower,1732.501695861569,1612.9032258064517,28.860000610351562,31.0
402,2019-12-16,Open Position,lower,1703.5774906349834,1612.9032258064517,29.350000381469727,31.0
403,2019-12-18,Close Position,lower,1719.986258166431,1612.9032258064517,29.06999969482422,31.0
404,2019-12-19,Open Position,upper,1726.5193915979182,1612.9032258064517,28.959999084472656,31.0
